case	anchor	l1_verdict	reason	max_zone	max_rmse	warn_threshold	fail_threshold	stop_rule	context_rmse	orb_rmse	dialogue_rmse	controls_rmse
main_cooling_deep_space	main_cooling_deep_space-anchor.png	WARN	context_rmse=0.235495 >= warn_threshold=0.180000	context	0.235495	0.180000	0.300000	L1 sentinel stop-rule: if repeated runs add no new proof class or artifact and only tune the same L1 metric/crop, stop and close as PARTIAL/FAIL instead of continuing. L1 blocks collapse only; it does not sign aesthetics or replace L3.	0.235495	0.110260	0.123260	0.190109
main_heating_ivory	main_heating_ivory-anchor.png	WARN	controls_rmse=0.196345 >= warn_threshold=0.180000	controls	0.196345	0.180000	0.300000	L1 sentinel stop-rule: if repeated runs add no new proof class or artifact and only tune the same L1 metric/crop, stop and close as PARTIAL/FAIL instead of continuing. L1 blocks collapse only; it does not sign aesthetics or replace L3.	0.167556	0.075037	0.106879	0.196345
safety_refusal_ivory	safety_refusal_ivory-anchor.png	PASS	max_rmse=0.179655 < warn_threshold=0.180000	controls	0.179655	0.180000	0.300000	L1 sentinel stop-rule: if repeated runs add no new proof class or artifact and only tune the same L1 metric/crop, stop and close as PARTIAL/FAIL instead of continuing. L1 blocks collapse only; it does not sign aesthetics or replace L3.	0.166021	0.077567	0.174252	0.179655
capsule_video_loop_deep_space	capsule_video_loop_deep_space-anchor.png	WARN	context_rmse=0.222121 >= warn_threshold=0.180000	context	0.222121	0.180000	0.300000	L1 sentinel stop-rule: if repeated runs add no new proof class or artifact and only tune the same L1 metric/crop, stop and close as PARTIAL/FAIL instead of continuing. L1 blocks collapse only; it does not sign aesthetics or replace L3.	0.222121	0.110436	0.123163	0.190116
u17_golden_path_deep_space	u17_golden_path_deep_space-anchor.png	PASS	max_rmse=0.053069 < warn_threshold=0.180000	orb	0.053069	0.180000	0.300000	L1 sentinel stop-rule: if repeated runs add no new proof class or artifact and only tune the same L1 metric/crop, stop and close as PARTIAL/FAIL instead of continuing. L1 blocks collapse only; it does not sign aesthetics or replace L3.	0.015627	0.053069	0.004430	0.000723
